Absolute Magnitude,Est Dia in KM(min),Relative Velocity km per sec,Miss Dist.(kilometers),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,hazardous
22.1,0.101054342,15.79708507,27445294,18,0,0.0549144,5.293,2458000.5,0.153836991,31.04245161,49.31999677,455.0492405,0.979702043,246.8332903,1.335932256,2458117.764,267.2300401,0.791123175,0
21.6,0.127219879,20.28945338,30440984,30,0,0.0812573,5.01,2458000.5,0.476510033,5.800925368,191.2587797,512.5882833,0.656178296,147.9375113,1.850759132,2458112.46,281.3684519,0.702318043,0
20.5,0.211132445,19.85485062,22393042,24,1,0.117551,6.468,2458000.5,0.5265427,20.13021458,38.7816058,309.9608359,0.424378215,334.9806742,1.368299666,2457976.506,27.86736523,1.161437054,0
21,0.167708462,24.71825521,51248596,18,2,0.00215466,4.092,2458000.5,0.53324626,7.502275136,74.49124208,776.7516458,0.771869078,250.7422433,2.535524147,2457669.893,153.2259945,0.463468603,1
22.2,0.096506147,11.39660227,34981784,26,1,0.0499383,5.512,2458000.5,0.498869693,10.78773208,16.98040476,421.5812038,0.551407341,125.979501,1.649247193,2457807.135,165.1195034,0.853928014,0
20.6,0.201629919,15.45541989,16406984,8,7,0.0947896,4.044,2458000.5,0.490849799,22.13016643,72.21757892,782.3624023,0.846029713,100.3153715,2.477271393,2457629.305,170.8032502,0.460144811,0
24.4,0.035039264,14.68517642,57902824,16,0,0.021176,5.17,2458000.5,0.189682932,5.565071113,215.9032878,500.4540394,0.999613628,323.5602404,1.467602397,2457831.348,121.6788611,0.719346776,0
18.8,0.46190746,19.53617081,51898464,29,2,0.0613713,3.232,2458000.5,0.591282536,28.17732241,95.20300055,1248.874609,0.927620066,158.5215331,3.611555024,2458591.875,189.5306371,0.288259524,0
25.8,0.018388867,4.823898633,60106416,13,6,0.00120536,4.769,2458000.5,0.350066433,0.654497157,214.1302323,583.1012834,0.887767716,119.6465719,1.844104467,2458076.2,313.2636057,0.617388454,0
24.3,0.036690614,11.50824853,3868730.5,12,7,0.0222117,5.054,2458000.5,0.202625296,20.00369553,256.4453283,512.7028131,0.999633119,38.56656344,1.507677719,2458106.355,285.6728098,0.702161156,0
19.6,0.319561887,18.33273398,53124212,45,0,0.0142281,5.208,2457800.5,0.234803202,27.42819291,91.30172769,472.3955569,0.908332239,58.29306828,1.465781824,2457814.672,349.2002761,0.762073213,1
